C6:21:3B:AE:36:45,E2:19:18:C3:B9:B8,F8:0F:43:E2:80:45,C2:5B:0A:92:20:41,C3:79:28:8C:7B:D7,EA:67:8D:31:27:71,E6:61:40:67:01:E5,CE:88:10:2C:58:A2,C0:23:61:37:E1:2A,E8:94:83:95:61:E3,label
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
-60.459265565574576,-66.92643041998099,-69.44880283254895,-72.76433091217393,-73.14711884055419,-74.1707241699097,-74.63881259544111,-76.16861422855786,-76.18976247494669,-81.79188301776978,3
